Name,Address,Address2,Address3,City,State,Zip,Phone,Latitude,Longitude
Sichuan Hot Pot Cuisine,2162 Rockwell Ave,,,Cleveland,OH,,+12165231188,41.5086,-81.67808
Emperor's Palace,2136 Rockwell Ave,,,Cleveland,OH,,+12168619999,41.508385,-81.678449
LJ Shanghai,3142 Superior Ave,,,Cleveland,OH,,+12164006936,41.51093,-81.66888
Siam Cafe,3951 St Clair Ave NE,,,Cleveland,OH,,+12163612323,41.516503,-81.6649155
Szechuan Cafe,2999 Payne Ave,Ste 145,,Cleveland,OH,,+12165151111,41.50811,-81.6691
Li Wah,2999 Payne Ave,Ste 102,,Cleveland,OH,,+12166966556,41.5083668054267,-81.669370655881
Szechuan Gourmet,1735 E 36th St,,,Cleveland,OH,,+12168819688,41.508505,-81.663319
Faith Sung Inc Dba Asian Kitchen,1301 E 9th St,,,Cleveland,OH,,+12165750808,41.504833,-81.690637
Great Taste Chinese Restaurant,1803 E 12th St,,,Cleveland,OH,,+12166859997,41.5019684,-81.6846008
Sakura,530 Euclid Ave,,,Cleveland,OH,,+12162740823,41.4996796,-81.6894913
Saigon Restaurant and Bar,2061 E 4th St,,,Cleveland,OH,,+12163442020,41.4989085,-81.6899104
Hunan One,7901 Euclid Ave,,,Cleveland,OH,,+12164210450,41.50451,-81.63322
Wasabi Restaurant,2123 E79th St,,,Cleveland,OH,,+12164597533,41.500843824783,-81.6334452753302
China Mountain III,7907 Cedar Ave,,,Cleveland,OH,,+12168814477,41.50049,-81.6327699
China Town II,2051 W 25th St,,,Cleveland,OH,,+12165749250,41.48365,-81.70253
China One,2765 E 55th St,,,Cleveland,OH,,+12168818881,41.4830741882324,-81.6509399414062
Hong Kong Kitchen,2802 Clark Ave,,,Cleveland,OH,,+12165668811,41.470184,-81.701073
China Dragon,2802 Clark Ave,,,Cleveland,OH,,+12165668811,41.4701004,-81.7010803
Panda Express,3244 Steelyard Dr,,,Cleveland,OH,,+12166611027,41.4653161,-81.6871265
NÃ¼joy,11311 Euclid Ave,,,Cleveland,OH,,+12169997016,41.5087236,-81.6059985
Wing Wah,5853 Broadway Ave,,,Cleveland,OH,,+12166416332,41.466499,-81.649334
Chopstick Chinese Restaurant,11332 Euclid Ave,,,Cleveland,OH,,+12167917998,41.5084707890612,-81.6051659116394
Inchin's Bamboo Garden,11440 Euclid Ave,,,Cleveland,OH,,+12162293003,41.5096408965652,-81.6041102477332
Phusion Cafe,11611 Euclid Ave,,,Cleveland,OH,,+12169780088,41.5109853006326,-81.6030496358871
China Kitchen,6208 Broadway Ave,,,Cleveland,OH,,+12166417070,41.46337,-81.64721
China Town 1,3718 Pearl Rd,,,Cleveland,OH,,+12167411202,41.4536049,-81.7015822
Teriyaki Express,13201 Superior Ave,,,East Cleveland,OH,,+12166005129,41.523271476023,-81.5907681360841
China One,11708 Buckeye Rd,,,Cleveland,OH,,+12169912222,41.4805908203125,-81.601432800293
Teriyaki Express,7060 Denison Ave,,,Cleveland,OH,,+12168624008,41.4620331,-81.7368279
Hunan Coventry,1800 Coventry Rd,,,Cleveland Heights,OH,,+12163710777,41.5103685018715,-81.5802007953138
Jackie Chen Wok,2756 Van Aken Blvd,,,Cleveland,OH,,+12162833888,41.4828682,-81.5888519
China Wok,3006 Broadview Rd,,,Cleveland,OH,,+12163986363,41.44045,-81.702275
Number 1 Kitchen,10670 Lorain Ave,,,Cleveland,OH,,+12162525588,41.46549,-81.76114
China City,4225 Fulton Rd,,,Cleveland,OH,,+12163515888,41.4415398,-81.7228775
China Mountain I,14959 Saint Clair Ave,,,Cleveland,OH,,+12164519222,41.5531616,-81.5769272
Richie Chan's Chinese Restaurant,13181 Cedar Rd,,,Cleveland,OH,,+12169328900,41.5013749,-81.56623
Dragon Light,3537 W 105th St,,,Cleveland,OH,,+12162510504,41.4561,-81.75852
Sun Sun Chinese Restaurant,4203 Ridge Rd,,,Cleveland,OH,,+12167495622,41.4423103,-81.7348633
China Star,3283 W 117th St,,,Cleveland,OH,,+12162515551,41.46291,-81.76872
China House,7413 Memphis Ave,,,Cleveland,OH,,+12163518888,41.43982,-81.73633
Sun Luck Garden,1901 S Taylor Rd,,,Cleveland Heights,OH,,+12163977676,41.50781,-81.5553
Mandarin House Restaurant of China,3201 State Rd,,,Cuyahoga Falls,OH,,+13309298157,41.15903,-81.50967
Sunrise Kitchen,3515 Hudson Dr,Ste 700,,Stow,OH,,+13309224062,41.165096282959,-81.4758834838867
Asian Grill,1166 N Court St,,,Medina,OH,,+13307643332,41.157551,-81.861324
Bangkok Thai Restaurant,3767 Darrow Rd,,,Stow,OH,,+13306157997,41.1673719904518,-81.4399877563119
King Dragon,3310 Kent Rd,,,Stow,OH,,+13306888800,41.1590538,-81.4414597
Phoenix Express,3063 Graham Rd,,,Stow,OH,,+13306787788,41.1670585223255,-81.4041273577702
Main Moon,4439 Kent Rd,,,Stow,OH,,+13306733888,41.156902,-81.400806
Ming Cheng Restaurant,1687 E Main St,,,Kent,OH,,+13306781600,41.1545944,-81.3326645
Evergreen Chinese Buffet,1665 E Main St,,,Kent,OH,,+13306738882,41.1548805,-81.3337326
Yummy Garden,1879 E Main St,,,Kent,OH,,+13306780505,41.1548503605972,-81.3291830196977
China Dragon,3468 Mayfield Rd,,,Cleveland,OH,,+12163815783,41.51628,-81.55327
China Bay,6820 Biddulph Rd,,,Cleveland,OH,,+12164592222,41.431217,-81.7332203
Ming Moon,3786 W 117th St,,,Cleveland,OH,,+12166710006,41.4500699,-81.76942
China Jade,2190 Brookpark Rd,,,Cleveland,OH,,+12167494720,41.4193344,-81.6958084
Empire Chinese Restaurant,4793 Turney Rd,,,Cleveland,OH,,+12166411888,41.4299202,-81.6152802
Jackie Chen's Asian Dinner,2199 Brookpark Rd,,,Cleveland,OH,,+12167390988,41.418969,-81.6963523
East China,5216 Broadview Rd,,,Cleveland,OH,,+12163518889,41.418571472168,-81.6953430175781
East China,16834 Chagrin,,,Shaker Heights,OH,,+12162835540,41.46435,-81.56163
Great Wall Chinese Restaurant,4930 Turney Rd,,,Cleveland,OH,,+12168838898,41.42573,-81.61384
China Gate,13919 Cedar Rd,,,South Euclid,OH,,+12169322924,41.5024063,-81.5391659
King Fong,14055 Lorain Ave,,,Cleveland,OH,,+12162517678,41.45445,-81.7917
Panda Express,2100 Warrensville Center Rd,,,South Euclid,OH,,+12163717099,41.50247,-81.5365
Golden Gate Chinese Restaurant,16009 Hilliard Rd,,,Lakewood,OH,,+12162286688,41.4766,-81.8091199
Szechwan Garden,13800 Detroit Ave,,,Lakewood,OH,,+12162261987,41.4857749938965,-81.8136978149414
Oriental Palace Buffet,3364 Warren Rd,,,Cleveland,OH,,+12166719988,41.4623,-81.80325
Fu Sheng,4071 Lee Rd,Ste 160,,Cleveland,OH,,+12167529986,41.448844,-81.563472
Peking Restaurant,18198 Sloane Ave,,,Lakewood,OH,,+12162267800,41.4866,-81.824
China Express,5720 Ridge Rd,,,Cleveland,OH,,+14408882636,41.40675,-81.73487
Ni's Express Chinese Restaurant,6064 Broadview Rd,,,Cleveland,OH,,+12166350888,41.3984458,-81.6885519
Jade Chinese Kitchen,14421 Cedar Rd,,,South Euclid,OH,,+12169386982,41.50167,-81.52059
Spring Garden Chinese,4737 W 130th St,,,Cleveland,OH,,+12162516711,41.42524,-81.77978
Happy Buddha Cafe,2173 S Green Rd,,,Cleveland,OH,,+12162912446,41.5006901721585,-81.5183592109756
China Kitchen II,5607 Turney Rd,,,Cleveland,OH,,+12166633308,41.41054,-81.60089
First Wok,21051 Euclid Ave,,,Cleveland,OH,,+12167389000,41.56993,-81.53358
Thai Gourmet,6901 Rockside Rd,Ste 3,,Independence,OH,,+12169862828,41.395547,-81.641748
China Chef,15200 Puritas Ave,,,Cleveland,OH,,+12169417833,41.435459,-81.8028408
Jackie Chen's Dragon Towers Chinese Restaurant,17452 Lorain Ave,,,Cleveland,OH,,+12162516696,41.4501449,-81.8187626
Ming Home,15720 Broadway Ave,,,Maple Heights,OH,,+12166627850,41.416596,-81.5719
Turney China,5851 Turney Rd,,,Cleveland,OH,,+12166628899,41.40343,-81.5959
China Sea,417 E 200th St,,,Euclid,OH,,+12164869818,41.5947,-81.53988
China Dragon,11680 Snow Rd,,,Parma Heights,OH,,+14408428888,41.4051749,-81.7685512
Taydo Vietnamese & Chinese Restaurant,11725 Snow Rd,,,Parma,OH,,+14408420392,41.4044,-81.76989
Teriyaki Express,4640 Warrensville Center Rd,,,North Randall,OH,,+12167145800,41.4346630937912,-81.5361987547711
Ho Wah,2101 Richmond Rd,,,Beachwood,OH,,+12168312327,41.500679,-81.496429
Hunan East,724 Richmond Rd,,,Cleveland,OH,,+12163812266,41.5407985,-81.4973389
Asian Chao,26300 Cedar Rd,,Beachwood Pl,Beachwood,OH,,+12165910283,41.4986,-81.4942169
King Wah,20668 Center Ridge Rd,,,Rocky River,OH,,+14403310330,41.4628571,-81.8496983
Golden Lily,6253 Pearl Rd,,,Cleveland,OH,,+14408857388,41.39098,-81.76066
Asian Chao,691 Richmond Rd,Ste -  Vc 07,,Cleveland,OH,,+14404492040,41.541888,-81.493008
Best Wok Chinese,7671 W Ridgewood Dr,,,Cleveland,OH,,+14408881110,41.383402,-81.737832
Double Dragon Buffet,6276 Pearl Rd,,,Cleveland,OH,,+14408888177,41.3905106,-81.7619934
Panda Express,21085 Center Ridge Rd,,,Fairview Park,OH,,+14403332660,41.4613136115506,-81.8538868368156
China Chef,6328 Pearl Rd,,,Cleveland,OH,,+14408888999,41.3887634277344,-81.7644195556641
Panda Express,6895 Ridge Rd,,,Parma,OH,,+14408887979,41.3780450831478,-81.7341383189276
Chopsticks Express,8800 Day Dr,,,Parma,OH,,+14408826209,41.38089,-81.74598
Wok of the Falls,8185 Columbia Rd,,,Olmsted Falls,OH,,+14402356655,41.3733788,-81.9010086
Imperial Wok Chinese Restaurant,33825 Aurora Rd,,,Solon,OH,,+14402483833,41.3852806091309,-81.4384078979492
Smiles Chinese Food,500 W Aurora Rd,,,Northfield,OH,,+13309080986,41.313509689821,-81.5569987893105
Dragon Garden Restaurant,9415 Olde 8 Rd,,,Northfield,OH,,+13304680557,41.31627,-81.53838
China King 1,375 Lear Rd,,,Avon Lake,OH,,+14409336009,41.49539,-81.98626
Dean's House,14393 Pearl Rd,,,Strongsville,OH,,+14402689598,41.3099573,-81.8350851
Zuki Sushi House,899 E Aurora Rd,,,Macedonia,OH,,+13307480999,41.3142427640058,-81.5064394794309
Sakura Sushi House,15040 Pearl Rd,,,Strongsville,OH,,+14402689668,41.3061263,-81.8353549
China Moon,10735 Ravenna Rd,,,Twinsburg,OH,,+13309633888,41.331638,-81.464009
Hunan by the Falls,508 E Washington St,,,Chagrin Falls,OH,,+14402470808,41.426765,-81.3738366
Lily Chinese Restaurant,27091 Bagley Rd,,,Olmsted Township,OH,,+14402354863,41.37204,-81.94253
Asia Garden,19648 W 130th St,,,Strongsville,OH,,+14402686622,41.278181635483,-81.7852382394222
Wah Sun,12550 Chillicothe Rd,,,Chesterland,OH,,+14407290772,41.5277023,-81.3380661
China King,33125 Center Ridge Rd,,,North Ridgeville,OH,,+14403530444,41.40475,-81.982606
Hunan Chester,12611 Chillicothe Rd,,,Chesterland,OH,,+14407293229,41.525976,-81.336288
Mark Pi's China Gate,32730 Walker Rd,,,Avon Lake,OH,,+14409302623,41.49345,-82.01562
Mandarin,35956 Detroit Rd,,,Avon,OH,,+14409379959,41.460125,-82.015855
Panda Express,1401 Center Rd,,,Avon,OH,,+14409370971,41.4691486287689,-82.0192191361825
King Dragon,20906 Drake Rd,,,Strongsville,OH,,+14402388278,41.29055,-81.85675
Little Hong Kong,34137 Center Ridge Rd,,,North Ridgeville,OH,,+14403277633,41.3983595,-81.9955516
Good Fortune Asian Cuisine,7537 Mentor Ave,,,Mentor,OH,,+14409750725,41.65649,-81.37248
Empress Court,8307 Washington St,,,Chagrin Falls,OH,,+14405432920,41.414337,-81.345348
Maing Wok Kitchen,35085 Center Ridge Rd,,,North Ridgeville,OH,,+14403533515,41.3928,-82.00644
Hakka Wok,1077 N Aurora Rd,,,Aurora,OH,,+13309958983,41.3473895484,-81.3782684536
Magic Wok,1027 N Aurora Rd,,,Aurora,OH,,+13309950783,41.34568,-81.3763
Beijing Garden,7995 Darrow Rd,,,Twinsburg,OH,,+13304259795,41.283934,-81.440302
Pandas,4174 Wheatley Rd,Ste 600,,Richfield,OH,,+13306593375,41.2198104858398,-81.6371383666992
China King Chinese Restaurant,1120 Pearl Rd,,,Brunswick,OH,,+13302257911,41.24492,-81.84142
Dragon,3668 Center Rd,,,Brunswick,OH,,+13302208038,41.2385172830581,-81.8243254624994
Imperial Dragon,8310 Tyler Blvd,,,Mentor,OH,,+14409748838,41.682391,-81.342572
King China Buffet,5983 Andrews Rd,,,Mentor-on-the-Lake,OH,,+14402578880,41.7085228,-81.3611832
New China Buffet,5935 Andrews Rd,,,Mentor-on-the-Lake,OH,,+14402578883,41.7094114366166,-81.3593401014805
Food King,1733 Pearl Rd,Ste 115,,Brunswick,OH,,+13305580688,41.2283199,-81.84097
Hunan Express,112 Barrington Town Square Dr,,,Aurora,OH,,+13309950806,41.3198836259191,-81.348926315764
Noble House,60 W Streetsboro St,,,Hudson,OH,,+13306559550,41.2398065801413,-81.4427185057662
Tong-Tong Chinese Restaurant,1646 Norton Rd,,,Stow,OH,,+13306552550,41.200965,-81.43725
New Peking Express,9507 State Rte 14,,,Streetsboro,OH,,+13306269871,41.24372,-81.35639
Panda Express,9540 State Rte 14,,,Streetsboro,OH,,+13303823781,41.2444003600855,-81.3552651267045
Hunan of Stow,4157 Bridgewater Pkwy,,,Stow,OH,,+13309293355,41.1797798,-81.4810496
Fun Buffet,9421 State Rt 14,,,Streetsboro,OH,,+13306269188,41.2412573166472,-81.352503917297
Tai Wah Asian Cuisine,9160 State Rte 14,,,Streetsboro,OH,,+13306262626,41.2396916527391,-81.3421118345257
China Wok,6178 Dunham Rd,,,Maple Heights,OH,,+12165818885,41.391911,-81.576027
Wing Kee,23161 Emery Rd,,,Cleveland,OH,,+12168310100,41.4357413332081,-81.5152082
Hong Kong Restaurant,5855 Smith Rd,,,Brook Park,OH,,+12162677120,41.4045465,-81.8040407
P.F. Chang's,26001 Chagrin Blvd,,,Beachwood,OH,,+12162921411,41.4650887865235,-81.4937630295753
China House,22316 Lake Shore Blvd,,,Euclid,OH,,+12162896886,41.60932929998,-81.52565077206
New Asian Delight,5391 Warrensville Center Rd,,,Maple Heights,OH,,+12163321616,41.4137802,-81.5371323
China King,7087 Brecksville Rd,,,Independence,OH,,+12163280983,41.3695455,-81.6378501
Asian Express,26010 Euclid Ave,,,Euclid,OH,,+12164718855,41.5882999,-81.50049
Dragon Gate,6681 W 130th St,,,Parma Heights,OH,,+14407430800,41.38239,-81.78413
China House,21789 Lorain Rd,,,Cleveland,OH,,+14403565898,41.4417686,-81.8619385
Golden Mountain Restaurant,27910 Chardon Rd,,,Willoughby Hills,OH,,+14409432997,41.58284,-81.48407
Great Wall,6871 W 130th St,,,Cleveland,OH,,+14408889999,41.3776398,-81.7837601
Tang's Wok,25780 Miles Rd,,,Bedford,OH,,+12163608688,41.4239311,-81.4969406
Mandarin House Chinese Restaurant,10393 W Pleasant Valley Rd,,,Cleveland,OH,,+14408427888,41.36352,-81.75811
Asian Wok Chinese Restaurant,24389 Detroit Rd,,,Westlake,OH,,+14408710880,41.47061,-81.89072
China Wok,8021 Broadview Rd,,,Broadview Heights,OH,,+14408380858,41.347579,-81.6839395432024
Wah Fu Chinese Restaurant,15210 Bagley Rd,,,Cleveland,OH,,+14408863456,41.3696012126997,-81.8036576249051
Red Bowl,28500 Miles Rd,,,Solon,OH,,+14403948575,41.42381,-81.47743
China Dragon,87 Northfield Rd,,,Bedford,OH,,+14402325911,41.3802109,-81.5265274
Grand China,6631 Mayfield Rd,,,Cleveland,OH,,+14409951819,41.5202549,-81.4401066
Blue Jade,7080 Engle Rd,Ste B,,Cleveland,OH,,+14402341668,41.37463,-81.8255234
Little Hong Kong,18332 Bagley Rd,,,Middleburg Heights,OH,,+14402608888,41.3734,-81.82972
Hundred Flowers,28898 Lake Shore Blvd,,,Willowick,OH,,+14409430850,41.62945,-81.48373
House of Hunan,7571 Pearl Rd,,,Cleveland,OH,,+14402343744,41.3593636,-81.8148727
Hop Hing,5630 Wallings Rd,,,North Royalton,OH,,+14405824666,41.33055,-81.72631
New Wong's Chinese Restaurant,30160 Euclid Ave,,,Wickliffe,OH,,+14405852822,41.615892,-81.4609137
Foo Sing,25102 Brookpark Rd,Ste 130,,North Olmsted,OH,,+14407346062,41.4193581,-81.8968105
Chin's Pagoda Chinese & American Restaurant,30708 Lake Shore Blvd,,,Willowick,OH,,+14409448118,41.6403991,-81.4730514
Peking Chinese,5900 Som Center Rd,Ste 11,,Willoughby,OH,,+14405851221,41.60772,-81.44055
Frankie's Wok,8926 Brecksville Rd,,,Brecksville,OH,,+14405465388,41.3193,-81.62706
Hunan Solon,6050 Enterprise Pkwy,,,Solon,OH,,+14402488836,41.395033,-81.463795
Nam Wah Chinese Vietnamese,392 W Bagley Rd,,,Berea,OH,,+14402438181,41.3722949,-81.867235
China Mountain II,31616 Vine St,,,Willowick,OH,,+14409430055,41.642097,-81.4653488
China House,420 W Bagley Rd,,,Berea,OH,,+14408169393,41.372455,-81.86824
South China Wok Restaurant,500 E Royalton Rd,,,Broadview Heights,OH,,+14405261511,41.313354,-81.682212
Shanghai Wok by B & Y,10424 Northfield Rd,,,Northfield,OH,,+13304677020,41.3423913195638,-81.5295235812664
Inchin's Bamboo Garden,5106 Great Northern Shop Ctr,,,North Olmsted,OH,,+14407340500,41.4164702649214,-81.9236755371094
Ming Moon,12758 Royalton Rd,,,North Royalton,OH,,+14408772238,41.3129518138715,-81.7543441506188
Peking Chef Chinese Restaurant,5900 Som Center Rd,,,Solon,OH,,+14405851221,41.3991050720215,-81.439208984375
China Wok,29241 Center Ridge Rd,,,Westlake,OH,,+14408923889,41.43279,-81.94279
Li Garden Restaurant,34650 Vine St,,,Willowick,OH,,+14406028888,41.6423951,-81.4421266
Ming Moon Chinese Restaurant,12758 Royalton Rd,,,North Royalton,OH,,+14408772238,41.31537,-81.7831999
Hong To Chinese Restaurant,4905 Robinhood Dr,,,Willoughby,OH,,+14409421633,41.6256832,-81.4268851
